Config CF source;Confluence source;Config CF sink;Confluence sink;Config OA;OA;Config DFP left;DFP left;Config DFP right;DFP right;Config PDG left;PDG left;Config PDG right;PDG right
"1.55500s
";"0.30200s
";"0.75500s
";"0.01400s
";"1.64800s
";"1.72900s
";"1.54800s
";"0.36000s
";"1.53200s
";"0.32900s
";"1.55900s
";"0.36900s
";"1.66300s
";"0.35600s
"
"1.56400s
";"0.31900s
";"0.76800s
";"0.01300s
";"1.59500s
";"1.67300s
";"1.50700s
";"0.32400s
";"1.51200s
";"0.34200s
";"1.55500s
";"0.36800s
";"1.54500s
";"0.37700s
"
"53.33000s
";"7.11600s
";"51.70600s
";"10.40200s
";"53.69800s
";"67.01400s
";"50.67200s
";"15.84600s
";"51.46700s
";"205.81700s
";"56.41600s
";"7.58000s
";"53.43700s
";"9.51800s
"
"1.18300s
";"1.13300s
";"0.58600s
";"0.11000s
";"1.25200s
";"1.43400s
";"1.22400s
";"1.17400s
";"1.32900s
";"0.92900s
";"1.17300s
";"0.89000s
";"1.25900s
";"0.99800s
"
"1.71800s
";"0.78100s
";"0.92900s
";"0.18000s
";"1.82400s
";"1.91900s
";"1.71900s
";"0.76500s
";"1.68800s
";"0.71900s
";"1.72900s
";"0.93600s
";"1.70500s
";"0.88300s
"
"0.98700s
";"0.78400s
";"0.34400s
";"0.08500s
";"0.99300s
";"1.16300s
";"0.97800s
";"0.61300s
";"0.94900s
";"0.63600s
";"0.97000s
";"0.63500s
";"1.03200s
";"0.64900s
"
"0.87600s
";"0.57800s
";"0.31600s
";"0.03100s
";"0.94400s
";"1.04900s
";"0.94500s
";"0.60500s
";"0.86200s
";"0.54600s
";"0.86000s
";"0.64600s
";"0.85400s
";"0.70300s
"
"1.03900s
";"0.63300s
";"0.37400s
";"0.00600s
";"1.04400s
";"1.15700s
";"0.97300s
";"0.52300s
";"0.95600s
";"0.23400s
";"1.00300s
";"0.54400s
";"1.04200s
";"0.25600s
"
"0.91100s
";"0.67000s
";"0.30500s
";"0.00900s
";"1.05100s
";"1.27500s
";"0.89900s
";"0.49500s
";"0.89600s
";"0.22600s
";"0.98100s
";"0.53500s
";"0.90600s
";"0.24200s
"
"0.90900s
";"0.90400s
";"0.29100s
";"0.00600s
";"0.93100s
";"1.02000s
";"0.90400s
";"0.75800s
";"0.98300s
";"0.23700s
";"1.00700s
";"0.72600s
";"1.00000s
";"0.28400s
"
"1.02100s
";"0.75500s
";"0.31300s
";"0.05200s
";"1.00800s
";"1.11100s
";"0.94600s
";"0.51200s
";"0.94700s
";"0.50700s
";"0.95600s
";"0.68400s
";"0.98200s
";"0.69100s
"
"1.04600s
";"0.48300s
";"0.45500s
";"0.04000s
";"1.08200s
";"1.18300s
";"1.06200s
";"0.44900s
";"1.12300s
";"0.39700s
";"1.12000s
";"0.65000s
";"1.15500s
";"0.53600s
"
"1.22300s
";"0.92800s
";"0.43600s
";"0.60500s
";"1.29100s
";"1.64600s
";"1.48000s
";"2.52000s
";"1.40800s
";"3.03900s
";"1.27800s
";"1.13300s
";"1.13500s
";"1.04600s
"
"1.11600s
";"0.63300s
";"0.39700s
";"0.10300s
";"1.14900s
";"1.33200s
";"1.10400s
";"0.53500s
";"1.10200s
";"0.62500s
";"1.22400s
";"0.73300s
";"1.20700s
";"0.73300s
"
